participant_id,trial_id,ACTION,event_P1_prechoose,event_P1_choose,event_P2_prechoose,event_bet_result_revealed,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
09_,58,-1,0,1636,4486,5250,11340,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,59,1,0,1290,4290,6686,12776,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,60,1,0,2092,5440,0,12244,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,61,0,0,2458,0,0,21778,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,62,-1,0,1802,4818,6516,12606,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,63,0,0,1392,0,0,13548,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,64,-1,0,1138,4302,7032,13120,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,65,-1,0,3156,0,0,15314,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,66,-1,0,1506,4520,7050,13140,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,67,1,0,1988,5206,6970,13060,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,68,-1,0,1088,4222,5954,12042,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,69,1,0,1060,4090,0,12760,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,70,-1,0,1792,4940,5772,11860,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,71,-1,0,1024,4106,0,14742,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,72,-1,0,1526,4542,5706,11794,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,73,-1,0,1690,0,0,13914,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,74,-1,0,1706,4570,0,12140,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,75,-1,0,1992,0,0,14246,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,76,0,0,2504,0,0,14794,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,77,-1,0,1568,4652,7582,13672,0,-0.0558898365803483,0.267364571491733,1450,-0.380480351738236,994,0.0102832527496821,-0.0719827692477744,7,193.714285714286
09_,78,1,0,2124,5156,0,12458,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,79,1,0,1490,4774,0,12978,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,80,-1,0,1422,4624,0,12626,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,81,-1,0,1492,4524,6054,15058,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,82,1,0,2994,0,0,15316,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,83,1,0,1868,5118,6716,12804,0,-0.027286094085564,0.267364571491733,1990,-0.318780835240143,406,0.010283252749682,-0.113115780246502,5,239.6
09_,84,-1,0,1722,4674,6504,12594,0,-0.134511607741229,0.164532043994913,1294,-0.514162637484102,940,-0.010283252749682,0.00822647667175791,5,172.8
09_,85,0,0,1922,4990,6888,12976,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
