,bin,time(ms), 1,0,1,
09_,133,264,-0.17139,0.051416,0.10228,
09_,134,266,-0.17482,0.015425,0.10158,
09_,135,268,-0.18167,-0.010283,0.10603,
09_,136,270,-0.18167,-0.046275,0.10533,
09_,137,272,-0.18853,-0.082266,0.10978,
09_,138,274,-0.19195,-0.10797,0.10909,
09_,139,276,-0.19881,-0.12854,0.10839,
09_,140,278,-0.20567,-0.13368,0.11284,
09_,141,280,-0.21252,-0.13882,0.11214,
09_,142,282,-0.21938,-0.14397,0.11145,
09_,143,284,-0.22623,-0.14911,0.1159,
09_,144,286,-0.22966,-0.15425,0.1152,
09_,145,288,-0.23309,-0.15425,0.11965,
09_,146,290,-0.23309,-0.15425,0.11895,
09_,147,292,-0.23651,-0.15425,0.11826,
09_,148,294,-0.23651,-0.15939,0.11312,
09_,149,296,-0.23651,-0.15939,0.11312,
09_,150,298,-0.23994,-0.16453,0.11312,
09_,151,300,-0.23994,-0.16453,0.11312,
09_,152,302,-0.23994,-0.16453,0.10797,
09_,153,304,-0.23994,-0.16453,0.10797,
09_,154,306,-0.23994,-0.15939,0.10283,
09_,155,308,-0.24337,-0.15425,0.10797,
09_,156,310,-0.2468,-0.14911,0.10797,
09_,157,312,-0.25365,-0.14397,0.10797,
09_,158,314,-0.26051,-0.14397,0.10797,
09_,159,316,-0.26051,-0.13882,0.11312,
09_,160,318,-0.27079,-0.13368,0.11312,
09_,161,320,-0.27079,-0.13882,0.1234,
09_,162,322,-0.27422,-0.13882,0.1234,
09_,163,324,-0.27422,-0.13882,0.1234,
09_,164,326,-0.27765,-0.13368,0.11826,
09_,165,328,-0.28108,-0.13368,0.11826,
09_,166,330,-0.27765,-0.1234,0.11312,
09_,167,332,-0.28108,-0.1234,0.11312,
09_,168,334,-0.2845,-0.1234,0.10797,
09_,169,336,-0.28108,-0.11826,0.10797,
09_,170,338,-0.2845,-0.11826,0.10797,
09_,171,340,-0.2845,-0.1234,0.10797,
09_,172,342,-0.2845,-0.11826,0.10797,
09_,173,344,-0.2845,-0.1234,0.10797,
09_,174,346,-0.28793,-0.12854,0.10797,
09_,175,348,-0.28793,-0.12854,0.10797,
09_,176,350,-0.28793,-0.13368,0.10797,
09_,177,352,-0.28793,-0.13368,0.11312,
09_,178,354,-0.28793,-0.13882,0.11312,
09_,179,356,-0.29136,-0.14397,0.11312,
09_,180,358,-0.29479,-0.14911,0.11312,
09_,181,360,-0.29821,-0.15939,0.11312,
09_,182,362,-0.30164,-0.16453,0.10797,
09_,183,364,-0.30164,-0.16967,0.10283,
09_,184,366,-0.30507,-0.17482,0.097691,
09_,185,368,-0.3085,-0.17996,0.092549,
09_,186,370,-0.30507,-0.17996,0.082266,
09_,187,372,-0.30507,-0.17996,0.087408,
09_,188,374,-0.3085,-0.17482,0.082266,
09_,189,376,-0.31193,-0.17482,0.082266,
09_,190,378,-0.32221,-0.17482,0.082266,
09_,191,380,-0.32906,-0.16967,0.082266,
09_,192,382,-0.33935,-0.16967,0.082266,
09_,193,384,-0.34963,-0.16967,0.082266,
09_,194,386,-0.36334,-0.16453,0.082266,
09_,195,388,-0.37362,-0.16453,0.082266,
09_,196,390,-0.37705,-0.15939,0.082266,
09_,197,392,-0.37705,-0.15425,0.082266,
09_,198,394,-0.38048,-0.15939,0.082266,
09_,199,396,-0.37705,-0.15939,0.082266,
09_,200,398,-0.37705,-0.16453,0.087408,
09_,201,400,-0.37705,-0.16453,0.082266,
09_,202,402,-0.37705,-0.16453,0.082266,
09_,203,404,-0.37705,-0.16453,0.077124,
09_,204,406,-0.37705,-0.16967,0.077124,
09_,205,408,-0.37705,-0.16967,0.077124,
09_,206,410,-0.37705,-0.16967,0.077124,
09_,207,412,-0.37705,-0.16967,0.077124,
09_,208,414,-0.37705,-0.16967,0.071983,
09_,209,416,-0.37705,-0.16967,0.071983,
09_,210,418,-0.38048,-0.16967,0.077124,
09_,211,420,-0.38048,-0.16967,0.077124,
09_,212,422,-0.37705,-0.16967,0.077124,
09_,213,424,-0.37705,-0.16453,0.082266,
09_,214,426,-0.37362,-0.16453,0.082266,
09_,215,428,-0.36677,-0.16453,0.087408,
09_,216,430,-0.35991,-0.16453,0.087408,
09_,217,432,-0.35649,-0.15939,0.092549,
09_,218,434,-0.34963,-0.15939,0.092549,
09_,219,436,-0.34278,-0.15939,0.097691,
09_,220,438,-0.33935,-0.15939,0.097691,
09_,221,440,-0.33592,-0.15939,0.097691,
09_,222,442,-0.33592,-0.15425,0.097691,
09_,223,444,-0.4936,-0.15425,0.097691,
09_,224,446,-0.4936,-0.15425,0.092549,
09_,225,448,-0.33249,-0.15425,0.097691,
09_,226,450,-0.32906,-0.14911,0.097691,
09_,227,452,-0.32564,-0.14911,0.092549,
09_,228,454,-0.32564,-0.14397,0.092549,
09_,229,456,-0.32906,-0.14397,0.092549,
09_,230,458,-0.32906,-0.13882,0.092549,
09_,231,460,-0.32564,-0.13882,0.092549,
09_,232,462,-0.32564,-0.13882,0.092549,
09_,233,464,-0.32564,-0.13368,0.092549,
09_,234,466,-0.32221,-0.13368,0.092549,
09_,235,468,-0.31878,-0.12854,0.092549,
09_,236,470,-0.47303,-0.12854,0.097691,
09_,237,472,-0.31193,-0.1234,0.097691,
09_,238,474,-0.31193,-0.1234,0.10283,
09_,239,476,-0.30507,-0.1234,0.10283,
09_,240,478,-0.3085,-0.11312,0.10283,
09_,241,480,-0.3085,-0.11312,0.10797,
09_,242,482,-0.3085,-0.11312,0.10797,
09_,243,484,-0.3085,-0.10797,0.10797,
09_,244,486,-0.30507,-0.10283,0.10797,
09_,245,488,-0.3085,-0.10283,0.10797,
09_,246,490,-0.3085,-0.10283,0.10797,
09_,247,492,-0.3085,-0.10283,0.10797,
09_,248,494,-0.3085,-0.097691,0.10797,
09_,249,496,-0.3085,-0.097691,0.11826,
09_,250,498,-0.46789,-0.097691,0.11826,
09_,251,500,-0.46789,-0.092549,0.1234,
09_,252,502,-0.46789,-0.092549,0.1234,
09_,253,504,-0.46789,-0.092549,0.12854,
09_,254,506,-0.46789,-0.092549,0.12854,
09_,255,508,-0.46789,-0.092549,0.12854,
09_,256,510,-0.47303,-0.087408,0.13368,
09_,257,512,-0.47303,-0.087408,0.13368,
09_,258,514,-0.47303,-0.087408,0.13368,
09_,259,516,-0.47817,-0.082266,0.13368,
09_,260,518,-0.47817,-0.077124,0.13882,
09_,261,520,-0.47817,-0.077124,0.14397,
09_,262,522,-0.48331,-0.077124,0.14911,
09_,263,524,-0.31878,-0.066841,0.15939,
09_,264,526,-0.31878,-0.066841,0.16453,
09_,265,528,-0.31878,-0.066841,0.16967,
09_,266,530,-0.31878,-0.0617,0.16967,
09_,267,532,-0.31878,-0.066841,0.16967,
09_,268,534,-0.31878,-0.066841,0.16967,
09_,269,536,-0.31878,-0.056558,0.17482,
09_,270,538,-0.31535,-0.056558,0.17482,
09_,271,540,-0.31535,-0.056558,0.17996,
09_,272,542,-0.31193,-0.056558,0.1851,
09_,273,544,-0.31535,-0.051416,0.1851,
09_,274,546,-0.31193,-0.051416,0.19024,
09_,275,548,-0.31193,-0.051416,0.19538,
09_,276,550,-0.31193,-0.046275,0.20052,
09_,277,552,-0.31193,-0.046275,0.20052,
09_,278,554,-0.31535,-0.046275,0.20567,
09_,279,556,-0.3085,-0.046275,0.21081,
09_,280,558,-0.31193,-0.041133,0.21081,
09_,281,560,-0.31193,-0.035991,0.21081,
09_,282,562,-0.31193,-0.035991,0.21081,
09_,283,564,-0.3085,-0.035991,0.20567,
09_,284,566,-0.31193,-0.025708,0.20567,
09_,285,568,-0.3085,-0.015425,0.20567,
09_,286,570,-0.31193,-0.015425,0.20052,
09_,287,572,-0.3085,-0.0051416,0.20052,
09_,288,574,-0.3085,-0.0051416,0.20052,
09_,289,576,-0.3085,-5.5511e-17,0.20052,
09_,290,578,-0.30507,0.0051416,0.20567,
09_,291,580,-0.30507,0.010283,0.20567,
09_,292,582,-0.30507,0.010283,0.21081,
09_,293,584,-0.30164,0.010283,0.21081,
09_,294,586,-0.29821,0.015425,0.22109,
09_,295,588,-0.29821,0.015425,0.22109,
09_,296,590,-0.29821,0.015425,0.22623,
09_,297,592,-0.29479,0.015425,0.22623,
09_,298,594,-0.29479,0.015425,0.22623,
09_,299,596,-0.29479,0.015425,0.22623,
09_,300,598,-0.29479,0.020567,0.23137,
09_,301,600,-0.29479,0.020567,0.23137,
09_,302,602,-0.29136,0.020567,0.23137,
09_,303,604,-0.29136,0.015425,0.23137,
09_,304,606,-0.2845,0.015425,0.24166,
09_,305,608,-0.2845,0.015425,0.24166,
09_,306,610,-0.2845,0.010283,0.24166,
09_,307,612,-0.28108,0.015425,0.24166,
09_,308,614,-0.28108,0.015425,0.24166,
09_,309,616,-0.28108,0.015425,0.23651,
09_,310,618,-0.28108,0.015425,0.23651,
09_,311,620,-0.28108,0.015425,0.23651,
09_,312,622,-0.28108,0.020567,0.24166,
09_,313,624,-0.27765,0.03085,0.2468,
09_,314,626,-0.27765,0.03085,0.2468,
09_,315,628,-0.27422,0.035991,0.25194,
09_,316,630,-0.26736,0.041133,0.25708,
09_,317,632,-0.26394,0.046275,0.25708,
09_,318,634,-0.26051,0.051416,0.26736,
09_,319,636,-0.25365,0.056558,0.26736,
09_,320,638,-0.25365,0.056558,0.26736,
09_,321,640,-0.25023,0.056558,0.26736,
09_,322,642,-0.2468,0.051416,0.26736,
09_,323,644,-0.25023,0.051416,0.26736,
09_,324,646,-0.25023,0.051416,0.26222,
09_,325,648,-0.2468,0.051416,0.26736,
09_,326,650,-0.25023,0.051416,0.26222,
09_,327,652,-0.25023,0.051416,0.26222,
09_,328,654,-0.2468,0.051416,0.25708,
09_,329,656,-0.2468,0.051416,0.25708,
09_,330,659,-0.24337,0.056558,0.25194,
09_,331,661,-0.24337,0.0617,0.25194,
09_,332,663,-0.23994,0.0617,0.2468,
09_,333,665,-0.23309,0.066841,0.2468,
09_,334,667,-0.22966,0.071983,0.2468,
09_,335,669,-0.22623,0.071983,0.2468,
09_,336,671,-0.22623,0.071983,0.2468,
09_,337,673,-0.2228,0.082266,0.2468,
09_,338,675,-0.2228,0.082266,0.24166,
09_,339,677,-0.2228,0.082266,0.23137,
09_,340,679,-0.2228,0.077124,0.22623,
09_,341,681,-0.2228,0.077124,0.21595,
09_,342,683,-0.2228,0.077124,0.20567,
09_,343,685,-0.21938,0.077124,0.19538,
09_,344,687,-0.20909,0.082266,0.1851,
09_,345,689,-0.20909,0.082266,0.17996,
09_,346,691,-0.20567,0.087408,0.16967,
09_,347,693,-0.20224,0.087408,0.15939,
09_,348,695,-0.19881,0.087408,0.15425,
09_,349,697,-0.19881,0.092549,0.15425,
09_,350,699,-0.19538,0.087408,0.14397,
09_,351,701,-0.19881,0.087408,0.28793,
09_,352,703,-0.19881,0.092549,0.26736,
09_,353,705,-0.19881,0.092549,0.13368,
09_,354,707,-0.20224,0.092549,0.13368,
09_,355,709,-0.19881,0.097691,0.12854,
